09/01/2024 02:43:38 PM - INFO - Winning numbers are ['10', '17', '20', '24', '54', '8']
09/01/2024 02:45:53 PM - INFO - 


|   Main1 |   Main2 |   Main3 |   Main4 |   Main5 |   MegaBall |
|      12 |      17 |      32 |      48 |      51 |         25 |
|      27 |      39 |      48 |      55 |      61 |         21 |
|      21 |      36 |      50 |      52 |      53 |          8 |
|       6 |      29 |      52 |      66 |      70 |         22 |
|      20 |      28 |      29 |      32 |      62 |          9 |
|      33 |      44 |      61 |      62 |      64 |          4 |
|      58 |      59 |      60 |      62 |      67 |          3 |
|      26 |      34 |      41 |      45 |      70 |          7 |
|      19 |      36 |      43 |      63 |      66 |          7 |
|      13 |      27 |      43 |      50 |      51 |         24 |
|      10 |      12 |      28 |      29 |      46 |         22 |
|       4 |      10 |      34 |      54 |      60 |          3 |
|      15 |      17 |      38 |      42 |      43 |         17 |
|       3 |      16 |      28 |      54 |      67 |         10 |
|      35 |      36 |      42 |      60 |      66 |          2 |
|      13 |      17 |      19 |      33 |      37 |         10 |
|      30 |      40 |      44 |      53 |      54 |         23 |
|       9 |      26 |      39 |      42 |      50 |         16 |
|      29 |      38 |      43 |      58 |      70 |          3 |
|       1 |      15 |      45 |      51 |      53 |          9 |
|       9 |      20 |      23 |      53 |      70 |          9 |
|       1 |       5 |      40 |      49 |      58 |         10 |
|      18 |      43 |      52 |      60 |      61 |         11 |
|      10 |      12 |      25 |      61 |      64 |         24 |
|       1 |      12 |      13 |      27 |      58 |         14 |
|      17 |      31 |      39 |      67 |      68 |          9 |
|       9 |      30 |      46 |      54 |      68 |         21 |
|      48 |      52 |      54 |      62 |      63 |         21 |
|      21 |      43 |      46 |      60 |      69 |         25 |
|      16 |      25 |      41 |      59 |      67 |         20 |
|      22 |      27 |      55 |      59 |      64 |          3 |
|       8 |      27 |      46 |      53 |      65 |         25 |
|       2 |      19 |      25 |      29 |      52 |         21 |
|      10 |      12 |      24 |      61 |      70 |         13 |
|      20 |      25 |      26 |      35 |      37 |          8 |
|      20 |      23 |      32 |      42 |      51 |         14 |
|       7 |      22 |      28 |      35 |      44 |         25 |
|      10 |      17 |      22 |      31 |      60 |         15 |
|       6 |      12 |      28 |      47 |      53 |         15 |
|      19 |      22 |      24 |      26 |      39 |         20 |
|      13 |      15 |      19 |      34 |      47 |          1 |
|       6 |       8 |      24 |      48 |      67 |          7 |
|       1 |      23 |      44 |      48 |      66 |          1 |
|       3 |       5 |      27 |      39 |      43 |          3 |
|      15 |      42 |      57 |      68 |      69 |         17 |
|      46 |      51 |      54 |      59 |      66 |         24 |
|       9 |      11 |      33 |      37 |      68 |         21 |
|       2 |       5 |      41 |      47 |      48 |         25 |
|       5 |      17 |      24 |      46 |      52 |          1 |
|       2 |      13 |      44 |      48 |      60 |          1 |
|       3 |      41 |      46 |      51 |      59 |         20 |
|       3 |       9 |      14 |      31 |      61 |         18 |
|       3 |      19 |      29 |      58 |      70 |         19 |
|       4 |      11 |      35 |      45 |      59 |         13 |
|       3 |      25 |      38 |      59 |      68 |         22 |
|       3 |      20 |      33 |      63 |      66 |          6 |
|       1 |       7 |      31 |      49 |      61 |         17 |
|      15 |      16 |      22 |      54 |      64 |          1 |
|      14 |      15 |      24 |      28 |      40 |          7 |
|      24 |      27 |      47 |      49 |      57 |          2 |
|       2 |      40 |      52 |      65 |      68 |         18 |
|       4 |      13 |      47 |      49 |      69 |         20 |
|      13 |      28 |      44 |      48 |      65 |          9 |
|      18 |      41 |      48 |      56 |      64 |          5 |
|       7 |       8 |       9 |      27 |      66 |          7 |
|      20 |      26 |      46 |      51 |      59 |         11 |
|      28 |      35 |      51 |      55 |      68 |          3 |
|       4 |       5 |      64 |      68 |      69 |          8 |
|      22 |      35 |      36 |      56 |      69 |         20 |
|       5 |      32 |      48 |      60 |      68 |          3 |
|      16 |      29 |      33 |      53 |      70 |         13 |
|      34 |      43 |      47 |      57 |      68 |         24 |
|       2 |      19 |      30 |      32 |      65 |         23 |
|      16 |      18 |      46 |      47 |      53 |          9 |
|      33 |      52 |      59 |      64 |      69 |         22 |
|       2 |      14 |      17 |      38 |      45 |          9 |
|      13 |      18 |      29 |      46 |      48 |         22 |
|       1 |      11 |      17 |      53 |      61 |         17 |
|      17 |      28 |      44 |      58 |      64 |         11 |
|      35 |      36 |      37 |      55 |      68 |         14 |
|       9 |      34 |      39 |      54 |      69 |         16 |
|      41 |      44 |      47 |      69 |      70 |          2 |
|       5 |       8 |      41 |      53 |      64 |         23 |
|       2 |       6 |      32 |      34 |      50 |         25 |
|      27 |      35 |      39 |      65 |      70 |         21 |
|       5 |      40 |      44 |      67 |      70 |         19 |
|       8 |      31 |      44 |      46 |      69 |         24 |
|       1 |       9 |      40 |      47 |      69 |         22 |
|       7 |      21 |      31 |      32 |      59 |         18 |
|      31 |      38 |      45 |      52 |      70 |         18 |
|       3 |       4 |       9 |      11 |      70 |         12 |
|       2 |       3 |      41 |      46 |      59 |         19 |
|      12 |      43 |      52 |      66 |      69 |         23 |
|       1 |      10 |      12 |      49 |      50 |         13 |
|       1 |      16 |      23 |      28 |      34 |          4 |
|       9 |      29 |      31 |      41 |      70 |          6 |
|      38 |      46 |      53 |      64 |      67 |         16 |
|       4 |       8 |      16 |      39 |      60 |         10 |
|       6 |      13 |      14 |      15 |      47 |         22 |
|       3 |      22 |      35 |      58 |      67 |          1 |
|      20 |      21 |      22 |      30 |      56 |         14 |
|       9 |      21 |      43 |      52 |      55 |         25 |
|       1 |      17 |      22 |      31 |      32 |         13 |
|      40 |      52 |      55 |      57 |      65 |          7 |
|       7 |      18 |      23 |      49 |      65 |         16 |
|       1 |      40 |      53 |      55 |      61 |          5 |
|      29 |      40 |      41 |      55 |      69 |         19 |
|       1 |       5 |      29 |      50 |      51 |          1 |
|      14 |      22 |      32 |      64 |      70 |         17 |
|      17 |      20 |      24 |      44 |      70 |         11 |
|       1 |      21 |      30 |      55 |      60 |          7 |
|      12 |      30 |      41 |      42 |      65 |          5 |
|      14 |      17 |      55 |      59 |      62 |         24 |
|       2 |      17 |      37 |      65 |      70 |         22 |
|      23 |      45 |      46 |      47 |      65 |          6 |
|      12 |      25 |      31 |      36 |      53 |         25 |
|      18 |      29 |      42 |      43 |      47 |          8 |
|      10 |      13 |      37 |      60 |      66 |         20 |
|      34 |      36 |      38 |      46 |      64 |         19 |
|      11 |      51 |      53 |      63 |      69 |          5 |
|       7 |       9 |      28 |      36 |      54 |          8 |
|       9 |      17 |      25 |      30 |      36 |         25 |
|       2 |      17 |      34 |      40 |      52 |         10 |
|       4 |      15 |      30 |      42 |      49 |         25 |
|       7 |      48 |      56 |      63 |      65 |         21 |
|       6 |      26 |      33 |      54 |      59 |          5 |
|       1 |       5 |      16 |      47 |      50 |         10 |
|      11 |      13 |      18 |      34 |      39 |          7 |
|       5 |      12 |      16 |      66 |      69 |          7 |
|      19 |      27 |      29 |      39 |      40 |         12 |
|      15 |      19 |      46 |      53 |      64 |         13 |
|       1 |      19 |      25 |      26 |      53 |          3 |
|      17 |      29 |      41 |      57 |      62 |         18 |
|       9 |      10 |      20 |      34 |      58 |         24 |
|      21 |      43 |      46 |      52 |      61 |         10 |
|      10 |      18 |      28 |      34 |      66 |         24 |
|      13 |      24 |      39 |      41 |      70 |          4 |
|       1 |      18 |      27 |      32 |      41 |         11 |
|       5 |      39 |      48 |      58 |      61 |          3 |
|      11 |      13 |      19 |      21 |      35 |         11 |
|      39 |      43 |      51 |      57 |      62 |         20 |
|      14 |      22 |      40 |      46 |      51 |          7 |
|       8 |      24 |      31 |      41 |      62 |         20 |
|       1 |      11 |      23 |      24 |      27 |          2 |
|      19 |      28 |      43 |      55 |      70 |          3 |
|       4 |       7 |      18 |      29 |      36 |          7 |
|      31 |      36 |      64 |      67 |      70 |         15 |
|      10 |      57 |      60 |      61 |      64 |          4 |
|      11 |      33 |      59 |      62 |      67 |         13 |
|       1 |      47 |      49 |      58 |      68 |         11 |
|       1 |      15 |      17 |      25 |      42 |          8 |
|      32 |      33 |      34 |      62 |      70 |         24 |
|       5 |      21 |      28 |      47 |      65 |         16 |
|       4 |      18 |      21 |      38 |      54 |          1 |
|      18 |      22 |      27 |      38 |      66 |         13 |
|      12 |      16 |      26 |      27 |      33 |         18 |
|      11 |      43 |      65 |      66 |      67 |          9 |
|      15 |      19 |      27 |      28 |      41 |         16 |
|      12 |      24 |      25 |      57 |      63 |         14 |
|       7 |       9 |      30 |      64 |      68 |         25 |
|      22 |      32 |      36 |      65 |      67 |         10 |
|      14 |      24 |      38 |      43 |      50 |          7 |
|       5 |      12 |      40 |      54 |      65 |         10 |
|      37 |      43 |      46 |      47 |      65 |         24 |
|      15 |      17 |      43 |      49 |      68 |         23 |
|      23 |      24 |      52 |      58 |      70 |          9 |
|       6 |      13 |      17 |      61 |      64 |         24 |
|      21 |      33 |      51 |      52 |      65 |         14 |
|      24 |      29 |      53 |      65 |      70 |         13 |
|      10 |      14 |      21 |      22 |      24 |         20 |
|      16 |      28 |      37 |      59 |      63 |         14 |
|      29 |      33 |      41 |      58 |      60 |         14 |
|       8 |      25 |      27 |      32 |      41 |         11 |
|       1 |      18 |      41 |      50 |      60 |         21 |
|       3 |      28 |      29 |      43 |      65 |         16 |
|       8 |      26 |      28 |      56 |      66 |         16 |
|       8 |      49 |      50 |      57 |      58 |          3 |
|      25 |      27 |      34 |      55 |      56 |         25 |
|      14 |      23 |      33 |      39 |      60 |          6 |
|      18 |      20 |      32 |      44 |      65 |         20 |
|      19 |      26 |      44 |      46 |      54 |         18 |
|      34 |      49 |      56 |      60 |      61 |         18 |
|      10 |      12 |      22 |      43 |      56 |         14 |
|       4 |      30 |      36 |      64 |      65 |         11 |
|      12 |      13 |      18 |      30 |      54 |          3 |
|       1 |      12 |      19 |      33 |      70 |         20 |
|       5 |       8 |      35 |      64 |      67 |          7 |
|       4 |      34 |      40 |      51 |      58 |         16 |
|       6 |      31 |      41 |      63 |      68 |         22 |
|      29 |      33 |      45 |      57 |      66 |         13 |
|       9 |      27 |      57 |      66 |      70 |         22 |
|      38 |      45 |      50 |      61 |      66 |          4 |
|       8 |      32 |      35 |      40 |      53 |          3 |
|      10 |      25 |      27 |      53 |      68 |         23 |
|       4 |      28 |      41 |      42 |      45 |          8 |
|      12 |      13 |      21 |      64 |      70 |          4 |
|      11 |      17 |      25 |      54 |      57 |         18 |
|       9 |      20 |      30 |      48 |      54 |         12 |
|       1 |       5 |      46 |      58 |      64 |         12 |
|       6 |      14 |      37 |      54 |      58 |          1 |
|      30 |      39 |      47 |      61 |      62 |         23 |
|       5 |       7 |      16 |      19 |      60 |          8 |
|      20 |      28 |      34 |      46 |      63 |         14 |
|       1 |       2 |      17 |      48 |      52 |          9 |
|       2 |       8 |      36 |      53 |      58 |         24 |
|       7 |      17 |      23 |      50 |      58 |         23 |
|       1 |      15 |      23 |      41 |      61 |         16 |
|       4 |       9 |      22 |      25 |      42 |         15 |
|       6 |       7 |      11 |      23 |      43 |          1 |
|       1 |      27 |      48 |      53 |      68 |         16 |
|       1 |       4 |      15 |      17 |      59 |         21 |
|      23 |      24 |      44 |      47 |      62 |         11 |
|       8 |      26 |      44 |      52 |      53 |          4 |
|       4 |      12 |      36 |      45 |      46 |          8 |
|      30 |      38 |      45 |      55 |      68 |          5 |
|      37 |      39 |      54 |      56 |      62 |         11 |
|       1 |      29 |      38 |      46 |      67 |         16 |
|       1 |       5 |      24 |      27 |      59 |         14 |
|      17 |      37 |      40 |      45 |      52 |         20 |
|       3 |      14 |      19 |      48 |      64 |         13 |
|      10 |      16 |      20 |      39 |      64 |         21 |
|       1 |      24 |      25 |      35 |      57 |         21 |
|       9 |      31 |      34 |      47 |      56 |          5 |
|       6 |       7 |       8 |      45 |      55 |          9 |
|       7 |      17 |      39 |      55 |      62 |         11 |
|      10 |      20 |      37 |      60 |      67 |         21 |
|       8 |      15 |      18 |      28 |      44 |         11 |
|       5 |      10 |      31 |      57 |      67 |         20 |
|       4 |       8 |      18 |      49 |      60 |          8 |
|       7 |      21 |      62 |      63 |      69 |         22 |
|       5 |       6 |      12 |      31 |      46 |         12 |
|      29 |      37 |      47 |      49 |      59 |         21 |
|      25 |      27 |      32 |      36 |      55 |          8 |
|      10 |      22 |      28 |      31 |      70 |          6 |
|       5 |       8 |      32 |      38 |      40 |          6 |
|      13 |      25 |      42 |      49 |      55 |         17 |
|      24 |      27 |      38 |      42 |      59 |          3 |
|       5 |      15 |      31 |      50 |      63 |         23 |
|      35 |      39 |      51 |      64 |      68 |         21 |
|      34 |      38 |      45 |      53 |      66 |          3 |
|      17 |      27 |      36 |      54 |      64 |         25 |
|       4 |      49 |      50 |      55 |      63 |         25 |
|      21 |      29 |      38 |      56 |      70 |         19 |
|      40 |      41 |      47 |      52 |      53 |          8 |
|      24 |      31 |      33 |      55 |      61 |          4 |
|      13 |      19 |      25 |      58 |      67 |         10 |
|      18 |      22 |      23 |      34 |      68 |         13 |
|      11 |      19 |      20 |      38 |      51 |         20 |
|       1 |       9 |      10 |      32 |      57 |         13 |
|      12 |      31 |      38 |      60 |      66 |         11 |
|      31 |      52 |      55 |      65 |      67 |         16 |
|       1 |       2 |      17 |      47 |      62 |         10 |
|      15 |      18 |      26 |      36 |      38 |         13 |
|      10 |      43 |      55 |      57 |      62 |          5 |
|      13 |      31 |      66 |      69 |      70 |         19 |
|      18 |      28 |      34 |      48 |      67 |         19 |
|      16 |      30 |      36 |      41 |      65 |         17 |
|      29 |      30 |      32 |      50 |      54 |          9 |
|       6 |      15 |      16 |      30 |      68 |          1 |
|       2 |      18 |      31 |      60 |      65 |          3 |
|      25 |      44 |      45 |      53 |      67 |          2 |
|      17 |      26 |      49 |      57 |      61 |          6 |
|      14 |      20 |      29 |      36 |      38 |         21 |
|       8 |      49 |      60 |      66 |      69 |         16 |
|      11 |      17 |      46 |      58 |      69 |         23 |
|       5 |      11 |      21 |      37 |      59 |          1 |
|      19 |      31 |      33 |      35 |      58 |          3 |
|       3 |      15 |      50 |      62 |      65 |         16 |
|      15 |      45 |      48 |      51 |      69 |          1 |
|       1 |      37 |      52 |      60 |      70 |         11 |
|      16 |      25 |      42 |      63 |      68 |         22 |
|      35 |      49 |      57 |      58 |      60 |         12 |
|       5 |      16 |      33 |      39 |      65 |          5 |
|      11 |      35 |      36 |      45 |      49 |         10 |
|      32 |      34 |      35 |      36 |      48 |          9 |
|      12 |      22 |      41 |      49 |      66 |          6 |
|      15 |      20 |      26 |      51 |      56 |          4 |
|       1 |      17 |      27 |      28 |      69 |         23 |
|       8 |      37 |      45 |      46 |      63 |          5 |
|       4 |      13 |      35 |      47 |      57 |          2 |
|      16 |      24 |      31 |      34 |      70 |          7 |
|       1 |       5 |      41 |      46 |      63 |         22 |
|      23 |      26 |      41 |      44 |      49 |         12 |
|       7 |      22 |      38 |      40 |      46 |          4 |
|      20 |      27 |      37 |      65 |      69 |         24 |
|       6 |      11 |      13 |      33 |      44 |         21 |
|       6 |      23 |      49 |      58 |      64 |          9 |
|      23 |      38 |      48 |      58 |      62 |          9 |
|      22 |      32 |      38 |      41 |      47 |         15 |
|       5 |      46 |      58 |      61 |      68 |         25 |
|      38 |      47 |      50 |      62 |      68 |         24 |
|       5 |      12 |      39 |      56 |      66 |         11 |
|      12 |      14 |      37 |      52 |      63 |          3 |
|       4 |       6 |      22 |      51 |      67 |         13 |
|      11 |      16 |      20 |      37 |      61 |         13 |
|      13 |      19 |      31 |      37 |      55 |         13 |
|       3 |       8 |      13 |      38 |      65 |         16 |
|      24 |      27 |      39 |      46 |      64 |         10 |
|      11 |      14 |      33 |      34 |      36 |         10 |
|       4 |       6 |      16 |      27 |      57 |          4 |
|      11 |      25 |      31 |      35 |      47 |         20 |
|      30 |      32 |      43 |      60 |      66 |         25 |
|      17 |      38 |      44 |      49 |      54 |          1 |
|       5 |      10 |      16 |      19 |      55 |          5 |
|       7 |      23 |      39 |      67 |      68 |         18 |
|      13 |      35 |      59 |      60 |      69 |          4 |
|      12 |      25 |      29 |      34 |      63 |         24 |
|      12 |      29 |      42 |      54 |      70 |         17 |
|      10 |      30 |      48 |      63 |      64 |         10 |
|       7 |      18 |      35 |      47 |      57 |          3 |
|      21 |      48 |      52 |      62 |      68 |         10 |
|      28 |      29 |      36 |      53 |      62 |         19 |
|       7 |      28 |      32 |      47 |      66 |         21 |
|       1 |       3 |      28 |      46 |      50 |         11 |
|       9 |      13 |      42 |      44 |      68 |         19 |
|      13 |      19 |      31 |      45 |      67 |         16 |
|       7 |       8 |      38 |      48 |      57 |          8 |
|       9 |      39 |      59 |      64 |      68 |         24 |
|       3 |      18 |      46 |      49 |      62 |         15 |
|      12 |      22 |      23 |      55 |      69 |         16 |
|      14 |      43 |      47 |      56 |      63 |          8 |
|       4 |      34 |      49 |      51 |      63 |          4 |
|       5 |      21 |      56 |      60 |      70 |         14 |
|      10 |      13 |      14 |      52 |      56 |          7 |
|       3 |       8 |      47 |      52 |      69 |          4 |
|       7 |      11 |      14 |      62 |      63 |          3 |
|       8 |      54 |      55 |      60 |      64 |          3 |
|      17 |      20 |      24 |      48 |      66 |          7 |
|      23 |      25 |      32 |      40 |      52 |         21 |
|      12 |      24 |      37 |      57 |      59 |          9 |
|      12 |      13 |      30 |      41 |      67 |         24 |
|      11 |      13 |      16 |      32 |      38 |         14 |
|       9 |      49 |      50 |      52 |      56 |         17 |
|       5 |      18 |      24 |      35 |      48 |          2 |
|       9 |      55 |      59 |      60 |      66 |          3 |
|       4 |      12 |      23 |      29 |      45 |         25 |
|       5 |      11 |      34 |      54 |      57 |          7 |
|      23 |      25 |      27 |      37 |      51 |          3 |
|      12 |      37 |      59 |      68 |      69 |         21 |
|       7 |      27 |      32 |      56 |      57 |         23 |
|       9 |      34 |      44 |      50 |      56 |         14 |
|       9 |      18 |      29 |      41 |      50 |          9 |
|      18 |      19 |      35 |      45 |      47 |          3 |
|      12 |      37 |      47 |      60 |      70 |         16 |
|       5 |      12 |      39 |      46 |      70 |          6 |
|       4 |      26 |      52 |      56 |      59 |         20 |
|       2 |      21 |      27 |      28 |      42 |          4 |
|       8 |      28 |      31 |      53 |      57 |         13 |
|      13 |      23 |      51 |      55 |      61 |          1 |
|      11 |      42 |      44 |      56 |      61 |         12 |
|       8 |      10 |      12 |      45 |      58 |         20 |
|       3 |      35 |      42 |      52 |      64 |         17 |
|       1 |       6 |      21 |      49 |      70 |         22 |
|      16 |      24 |      28 |      51 |      55 |         17 |
|       1 |       9 |      28 |      46 |      54 |         21 |
|       9 |      13 |      28 |      30 |      61 |         14 |
|      13 |      37 |      48 |      56 |      63 |         18 |
|       7 |      21 |      35 |      39 |      56 |         16 |
|      16 |      36 |      51 |      55 |      61 |         12 |
|      19 |      27 |      31 |      50 |      58 |         12 |
|      13 |      25 |      43 |      60 |      70 |         24 |
|       2 |      22 |      29 |      41 |      61 |          1 |
|       5 |      15 |      47 |      59 |      69 |          7 |
|       8 |      13 |      16 |      56 |      65 |         15 |
|      15 |      19 |      29 |      34 |      45 |         17 |
|       1 |      18 |      31 |      49 |      70 |         12 |
|       2 |      35 |      38 |      47 |      62 |          5 |
|       5 |      36 |      58 |      64 |      66 |         19 |
|       8 |      18 |      31 |      56 |      62 |          7 |
|      38 |      39 |      41 |      56 |      66 |          2 |
|      16 |      21 |      22 |      25 |      58 |         12 |
|       2 |      15 |      23 |      29 |      64 |          5 |
|       2 |      18 |      30 |      43 |      52 |         24 |
|       3 |      14 |      19 |      28 |      48 |          3 |
|      25 |      40 |      42 |      53 |      59 |         15 |
|       3 |       5 |      20 |      27 |      55 |         11 |
|       8 |      21 |      22 |      29 |      49 |         25 |
|      26 |      27 |      35 |      36 |      70 |          4 |
|       6 |       9 |      41 |      53 |      57 |          4 |
|      19 |      35 |      55 |      56 |      61 |         11 |
|       1 |      13 |      32 |      54 |      60 |          3 |
|      13 |      41 |      60 |      62 |      67 |         17 |
|       4 |       9 |      26 |      48 |      62 |         23 |
|      15 |      19 |      39 |      47 |      52 |         12 |
|      17 |      36 |      44 |      50 |      59 |         14 |
|      20 |      32 |      37 |      66 |      70 |         12 |
|       6 |       8 |      13 |      32 |      33 |         16 |
|      30 |      40 |      53 |      56 |      68 |         13 |
|       5 |      21 |      40 |      50 |      61 |          5 |
|      13 |      25 |      33 |      40 |      42 |         10 |
|       9 |      22 |      27 |      36 |      56 |         22 |
|       3 |      14 |      15 |      40 |      69 |         25 |
|       5 |      23 |      52 |      66 |      68 |          4 |
|      25 |      30 |      51 |      55 |      61 |         18 |
|       2 |      26 |      56 |      57 |      68 |          6 |
|      12 |      63 |      64 |      65 |      69 |          8 |
|       3 |      26 |      31 |      42 |      56 |         21 |
|       2 |       8 |      39 |      48 |      59 |         12 |
|      17 |      37 |      53 |      59 |      62 |         20 |
|      13 |      14 |      40 |      43 |      50 |          2 |
|      18 |      22 |      58 |      60 |      65 |         23 |
|       6 |      15 |      31 |      63 |      70 |         24 |
|      10 |      31 |      45 |      52 |      58 |          8 |
|       5 |      22 |      30 |      39 |      68 |         14 |
|       6 |      34 |      35 |      36 |      39 |         17 |
|      22 |      31 |      32 |      40 |      46 |         11 |
|      14 |      18 |      24 |      29 |      36 |         24 |
|      29 |      51 |      58 |      61 |      68 |         16 |
|       5 |      18 |      22 |      40 |      66 |          9 |
|      14 |      15 |      20 |      22 |      56 |         17 |
|       8 |      32 |      33 |      42 |      63 |         17 |
|       2 |       6 |      13 |      49 |      51 |         22 |
|      26 |      35 |      50 |      59 |      67 |          2 |
|      17 |      23 |      24 |      40 |      69 |          4 |
|      15 |      22 |      27 |      57 |      67 |          2 |
|      24 |      36 |      46 |      50 |      55 |         12 |
|       1 |      13 |      32 |      42 |      57 |          7 |
|      11 |      33 |      40 |      57 |      67 |         15 |
|      17 |      36 |      37 |      52 |      69 |          4 |
|       6 |      21 |      28 |      37 |      42 |         10 |
|      13 |      15 |      16 |      20 |      45 |          5 |
|      22 |      33 |      46 |      47 |      69 |         25 |
|      24 |      26 |      30 |      59 |      64 |         20 |
|       6 |       8 |      19 |      20 |      55 |         10 |
|       6 |       7 |      35 |      47 |      51 |          5 |
|       8 |      21 |      43 |      50 |      66 |         14 |
|      12 |      37 |      40 |      42 |      63 |         10 |
|      19 |      21 |      34 |      40 |      60 |         23 |
|       1 |      10 |      56 |      66 |      68 |          8 |
|      11 |      17 |      35 |      46 |      47 |          1 |
|      15 |      18 |      34 |      39 |      69 |         14 |
|       8 |      28 |      33 |      43 |      50 |         16 |
|      11 |      61 |      62 |      63 |      64 |         16 |
|       5 |      34 |      53 |      54 |      69 |         22 |
|      11 |      22 |      27 |      62 |      65 |         19 |
|       3 |       7 |      16 |      20 |      70 |          4 |
|      20 |      30 |      42 |      44 |      67 |         23 |
|      18 |      24 |      40 |      59 |      61 |         11 |
|      15 |      43 |      46 |      52 |      53 |          9 |
|       6 |      18 |      38 |      43 |      61 |         17 |
|      32 |      36 |      38 |      60 |      64 |         14 |
|       7 |      13 |      14 |      23 |      66 |          4 |
|      14 |      18 |      37 |      43 |      44 |          8 |
|       5 |      16 |      37 |      42 |      58 |         16 |
|       2 |      27 |      31 |      42 |      65 |         20 |
|       8 |      32 |      33 |      35 |      64 |         13 |
|       2 |      20 |      25 |      27 |      50 |          2 |
|      19 |      32 |      38 |      55 |      65 |         12 |
|       8 |      10 |      30 |      43 |      61 |         19 |
|      11 |      13 |      14 |      17 |      37 |         22 |
|       4 |      10 |      16 |      43 |      55 |          6 |
|      24 |      26 |      31 |      53 |      55 |         13 |
|       9 |      16 |      34 |      39 |      64 |          3 |
|      16 |      26 |      34 |      61 |      69 |         12 |
|      13 |      23 |      59 |      62 |      66 |          4 |
|      22 |      43 |      46 |      62 |      66 |          7 |
|       4 |       6 |      27 |      28 |      60 |          4 |
|       6 |       7 |      11 |      31 |      55 |          6 |
|       3 |      18 |      47 |      64 |      66 |         16 |
|       2 |      23 |      37 |      41 |      56 |         23 |
|       9 |      14 |      45 |      62 |      70 |         24 |
|       6 |      18 |      44 |      45 |      60 |         19 |
|      15 |      29 |      40 |      43 |      59 |         11 |
|      21 |      28 |      46 |      53 |      55 |         21 |
|       8 |      44 |      58 |      62 |      65 |         11 |
|      23 |      46 |      54 |      65 |      68 |         11 |
|      10 |      31 |      32 |      48 |      55 |         10 |
|       2 |       5 |      34 |      46 |      55 |         14 |
|       2 |      15 |      17 |      19 |      43 |          2 |
|      18 |      20 |      30 |      58 |      69 |          5 |
|       7 |      31 |      38 |      39 |      68 |         17 |
|      28 |      37 |      43 |      50 |      69 |          4 |
|       6 |      22 |      52 |      54 |      65 |          4 |
